user id,product id,product,rating
user_id_074,Phones and Accessories,Google Phone,600
user_id_038,Audio Devices,Wired Headphones,11.99
user_id_091,Batterie,AAA Batteries (4-pack),2.99
user_id_004,Audio Devices,Wired Headphones,11.99
user_id_057,Audio Devices,Bose SoundSport Headphones,99.99
user_id_011,Audio Devices,Bose SoundSport Headphones,99.99
user_id_030,Audio Devices,Wired Headphones,23.98
user_id_085,Batterie,AA Batteries (4-pack),3.84
user_id_052,Audio Devices,Wired Headphones,11.99
user_id_023,Audio Devices,Wired Headphones,23.98
user_id_017,Batterie,AA Batteries (4-pack),11.52
user_id_060,Audio Devices,Bose SoundSport Headphones,99.99
user_id_089,Monitors,27in FHD Monitor,149.99
user_id_007,Audio Devices,Bose SoundSport Headphones,99.99
user_id_033,Entertainment Devices,Flatscreen TV,300
user_id_079,Batterie,AA Batteries (4-pack),3.84
user_id_045,Batterie,AA Batteries (4-pack),7.68
user_id_066,Charging Cables,USB-C Charging Cable,23.9
user_id_024,Charging Cables,USB-C Charging Cable,11.95
user_id_050,Phones and Accessories,Vareebadd Phone,400
user_id_009,Audio Devices,Apple Airpods Headphones,150
user_id_076,Laptops and Computers,ThinkPad Laptop,999.99
user_id_002,Audio Devices,Apple Airpods Headphones,150
user_id_041,Charging Cables,Lightning Charging Cable,14.95
user_id_071,Charging Cables,USB-C Charging Cable,11.95
user_id_037,Charging Cables,Lightning Charging Cable,14.95
user_id_093,Charging Cables,USB-C Charging Cable,11.95
user_id_020,Charging Cables,Lightning Charging Cable,14.95
user_id_053,Batterie,AAA Batteries (4-pack),2.99
user_id_086,Audio Devices,Wired Headphones,11.99
user_id_035,Charging Cables,Lightning Charging Cable,14.95
user_id_013,Batterie,AA Batteries (4-pack),7.68
user_id_046,Phones and Accessories,iPhone,700
user_id_008,Audio Devices,Bose SoundSport Headphones,99.99
user_id_029,Charging Cables,USB-C Charging Cable,23.9
user_id_068,Audio Devices,Apple Airpods Headphones,150
user_id_096,Audio Devices,Wired Headphones,11.99
user_id_014,Home Appliances,LG Washing Machine,600
user_id_064,Audio Devices,Apple Airpods Headphones,150
user_id_073,Audio Devices,Apple Airpods Headphones,150
user_id_036,Phones and Accessories,iPhone,700
user_id_099,Audio Devices,Apple Airpods Headphones,150
user_id_006,Batterie,AAA Batteries (4-pack),2.99
user_id_025,Charging Cables,USB-C Charging Cable,11.95
user_id_054,Monitors,27in FHD Monitor,149.99
user_id_016,Audio Devices,Wired Headphones,11.99
user_id_081,Audio Devices,Apple Airpods Headphones,150
user_id_065,Batterie,AAA Batteries (4-pack),11.96
user_id_022,Charging Cables,USB-C Charging Cable,11.95
user_id_097,Audio Devices,Wired Headphones,11.99
user_id_051,Monitors,34in Ultrawide Monitor,379.99
user_id_028,Charging Cables,USB-C Charging Cable,11.95
user_id_094,Monitors,34in Ultrawide Monitor,379.99
user_id_018,Audio Devices,Wired Headphones,11.99
user_id_075,Monitors,27in FHD Monitor,149.99
user_id_055,Audio Devices,Bose SoundSport Headphones,99.99
user_id_044,Audio Devices,Bose SoundSport Headphones,99.99
user_id_003,Charging Cables,USB-C Charging Cable,11.95
user_id_070,Charging Cables,Lightning Charging Cable,14.95
user_id_092,Phones and Accessories,Google Phone,600
user_id_026,Phones and Accessories,iPhone,700
user_id_061,Charging Cables,Lightning Charging Cable,14.95
user_id_015,Batterie,AAA Batteries (4-pack),8.97
user_id_078,Charging Cables,USB-C Charging Cable,11.95
user_id_042,Batterie,AA Batteries (4-pack),7.68
user_id_059,Batterie,AAA Batteries (4-pack),5.98
user_id_012,Batterie,AA Batteries (4-pack),3.84
user_id_098,Batterie,AA Batteries (4-pack),7.68
user_id_027,Audio Devices,Wired Headphones,11.99
user_id_090,Laptops and Computers,ThinkPad Laptop,999.99
user_id_021,Monitors,34in Ultrawide Monitor,379.99
user_id_040,Charging Cables,USB-C Charging Cable,23.9
user_id_010,Batterie,AA Batteries (4-pack),3.84
user_id_067,Batterie,AAA Batteries (4-pack),11.96
user_id_083,Monitors,27in FHD Monitor,149.99
user_id_019,Audio Devices,Bose SoundSport Headphones,99.99
user_id_080,Charging Cables,Lightning Charging Cable,14.95
user_id_005,Charging Cables,USB-C Charging Cable,23.9
user_id_088,Laptops and Computers,Macbook Pro Laptop,1700
user_id_058,Charging Cables,USB-C Charging Cable,11.95
user_id_034,Monitors,20in Monitor,109.99
user_id_048,Batterie,AA Batteries (4-pack),3.84
user_id_001,Charging Cables,USB-C Charging Cable,23.9
user_id_072,Charging Cables,USB-C Charging Cable,11.95
user_id_084,Phones and Accessories,iPhone,700
user_id_049,Monitors,27in FHD Monitor,149.99
user_id_063,Audio Devices,Bose SoundSport Headphones,99.99
user_id_082,Charging Cables,USB-C Charging Cable,11.95
user_id_095,Laptops and Computers,Macbook Pro Laptop,1700
user_id_032,Home Appliances,LG Washing Machine,600
user_id_043,Batterie,AAA Batteries (4-pack),5.98
user_id_062,Batterie,AAA Batteries (4-pack),2.99
user_id_077,Laptops and Computers,Macbook Pro Laptop,1700
user_id_087,Audio Devices,Bose SoundSport Headphones,99.99
user_id_039,Monitors,27in FHD Monitor,149.99
user_id_031,Charging Cables,Lightning Charging Cable,14.95
user_id_047,Charging Cables,Lightning Charging Cable,14.95
user_id_098,Monitors,34in Ultrawide Monitor,379.99
user_id_069,Batterie,AAA Batteries (4-pack),8.97
user_id_056,Phones and Accessories,Google Phone,600
